r,p,st,bids,asks,cbid,cask,trade,price,bprofit,sprofit,bind,sind
3,0,9,"[0.72, 0.53, None, 0.46]","[0.27, 0.45, None, 0.52]",,,True,0.49,0.31,0.31,B0,S0
3,0,10,"[0.79, 0.14, None, 0.46]","[0.24, 0.38, None, 0.52]",,,True,0.51,0.27,0.27,B0,S0
3,0,11,"[0.77, 0.5, None, 0.46]","[0.26, 0.93, None, 0.52]",,,True,0.51,0.25,0.25,B0,S0
3,0,12,"[0.61, 0.26, None, 0.46]","[0.34, 0.72, None, 0.52]",,,True,0.47,0.13,0.13,B0,S0
3,0,13,"[0.45, 0.59, None, 0.46]","[0.39, 0.72, None, 0.52]",,,True,0.49,0.16,0.1,B1,S0
3,0,14,"[0.45, 0.52, None, 0.46]","[0.41, 0.73, None, 0.52]",,,True,0.47,0.17,0.05,B1,S0
3,0,15,"[0.45, 0.05, None, 0.46]","[0.45, 0.8, None, 0.52]",,,True,0.45,0.0,0.0,B3,S0
3,0,16,"[0.45, 0.18, None, 0.43]","[0.69, 0.44, None, 0.52]",,,True,0.44,0.01,0.17,B0,S1
3,0,17,"[0.45, 0.56, None, 0.43]","[0.69, 0.73, None, 0.52]",,,True,0.54,0.06,0.02,B1,S3
3,0,18,"[0.45, 0.42, None, 0.43]","[0.69, 0.72, None, 0.52]",0.45,0.52,False,,,,,
3,0,19,"[0.45, 0.3, 0.52, 0.43]","[0.69, 0.65, 0.45, 0.52]",,,True,0.48,0.44,0.33,B2,S2
3,0,20,"[0.45, 0.24, None, 0.43]","[0.69, 0.94, None, 0.52]",0.45,0.52,False,,,,,
3,0,21,"[0.45, 0.5, 0.52, 0.43]","[0.69, 0.49, 0.45, 0.52]",,,True,0.48,0.43,0.31,B2,S2
3,0,22,"[0.45, 0.35, None, 0.43]","[0.69, 0.72, None, 0.52]",0.45,0.52,False,,,,,
3,0,23,"[0.45, 0.52, 0.52, 0.43]","[0.69, 0.79, 0.45, 0.52]",,,True,0.48,0.41,0.26,B2,S2
3,0,24,"[0.45, 0.02, None, 0.43]","[0.69, 0.59, None, 0.52]",0.45,0.52,False,,,,,
